Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[1].MultiEdge_DelayChain_Top/AsynBus_shakehand/shakehand_in[95:0],Calibration_table/genblk1[1].MultiEdge_DelayChain_Top/AsynBus_shakehand/din_valid[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
261,261,0,ffffffff00000000ffffffff,00000
262,262,0,000000000007fffffffffff0,3ffff
263,263,0,000000000000000000000000,00000
264,264,0,ffffffff00000000ffffffff,00000
265,265,0,000000000000000000000000,00000
266,266,0,000000000000000000000000,00000
267,267,0,ffffffff00000000ffffffff,00000
268,268,0,000000000000000000000000,00000
269,269,0,000000000000000000000000,00000
270,270,0,ffffffff00000000ffffffff,00000
271,271,0,ffffffff00000000ffffffff,00000
272,272,0,ffffffff00000000ffffffff,00000
273,273,0,ffffffff00000000ffffffff,00000
274,274,0,ff000000000007fffffffffc,3ffff
275,275,0,000000000000000000000000,00000
276,276,0,ffffffff00000000ffffffff,00000
277,277,0,000000000000000000000000,00000
278,278,0,000000000000000000000000,00000
279,279,0,ffffffff00000000ffffffff,00000
280,280,0,000000000000000000000000,00000
281,281,0,000000000000000000000000,00000
282,282,0,ffffffff00000000ffffffff,00000
283,283,0,ffffffff00000000ffffffff,00000
284,284,0,ffffffff00000000ffffffff,00000
285,285,0,ffffffff00000000ffffffff,00000
286,286,0,ffff800000000007ffffffff,00000
287,287,0,000000000000000000000000,3ffff
288,288,0,ffffffff00000000ffffffff,00000
289,289,0,000000000000000000000000,00000
290,290,0,000000000000000000000000,00000
291,291,0,ffffffff00000000ffffffff,00000
292,292,0,000000000000000000000000,00000
293,293,0,000000000000000000000000,00000
294,294,0,ffffffff00000000ffffffff,00000
295,295,0,ffffffff00000000ffffffff,00000
296,296,0,ffffffff00000000ffffffff,00000
297,297,0,ffffffff00000000ffffffff,00000
298,298,0,fffffea000000001ffffffff,00000
299,299,0,000000000000000000000000,3ffff
300,300,0,ffffffff00000000ffffffff,00000
301,301,0,000000000000000000000000,00000
302,302,0,000000000000000000000000,00000
303,303,0,ffffffff00000000ffffffff,00000
304,304,0,000000000000000000000000,00000
305,305,0,000000000000000000000000,00000
306,306,0,ffffffff00000000ffffffff,00000
307,307,0,ffffffff00000000ffffffff,00000
308,308,0,ffffffff00000000ffffffff,00000
309,309,0,ffffffff00000000ffffffff,00000
310,310,0,fffffff800000000ffffffff,00000
311,311,0,000000000000000000000000,3ffff
312,312,0,000000000000000000000000,00000
313,313,0,ffffffff00000000ffffffff,00000
314,314,0,000000000000000000000000,00000
315,315,0,000000000000000000000000,00000
316,316,0,ffffffff00000000ffffffff,00000
317,317,0,000000000000000000000000,00000
318,318,0,000000000000000000000000,00000
319,319,0,ffffffff00000000ffffffff,00000
320,320,0,ffffffff00000000ffffffff,00000
321,321,0,ffffffff00000000ffffffff,00000
322,322,0,fffffffe00000000ffffffff,00000
323,323,0,000000000000000000000000,3ffff
324,324,0,000000000000000000000000,00000
325,325,0,ffffffff00000000ffffffff,00000
326,326,0,000000000000000000000000,00000
327,327,0,000000000000000000000000,00000
328,328,0,ffffffff00000000ffffffff,00000
329,329,0,000000000000000000000000,00000
330,330,0,000000000000000000000000,00000
331,331,0,ffffffff00000000ffffffff,00000
332,332,0,ffffffff00000000ffffffff,00000
333,333,0,ffffffff00000000ffffffff,00000
334,334,0,ffffffff00000000ffffffff,00000
335,335,0,000000000000000000000000,3ffff
336,336,0,000000000000000000000000,00000
337,337,0,ffffffff00000000ffffffff,00000
338,338,0,000000000000000000000000,00000
339,339,0,000000000000000000000000,00000
340,340,0,ffffffff00000000ffffffff,00000
341,341,0,000000000000000000000000,00000
342,342,0,000000000000000000000000,00000
343,343,0,ffffffff00000000ffffffff,00000
344,344,0,ffffffff00000000ffffffff,00000
345,345,0,ffffffff00000000ffffffff,00000
346,346,0,ffffffff00000000ffffffff,00000
347,347,0,000000000000000000000000,3ffff
348,348,0,000000000000000000000000,00000
349,349,0,ffffffff00000000ffffffff,00000
350,350,0,000000000000000000000000,00000
351,351,0,000000000000000000000000,00000
352,352,0,ffffffff00000000ffffffff,00000
353,353,0,000000000000000000000000,00000
354,354,0,000000000000000000000000,00000
355,355,0,ffffffff00000000ffffffff,00000
356,356,0,ffffffff00000000ffffffff,00000
357,357,0,ffffffff00000000ffffffff,00000
358,358,0,ffffffff00000000ffffffff,00000
359,359,0,000000000000000000000000,3ffff
360,360,0,000000000000000000000000,00000
361,361,0,ffffffff00000000ffffffff,00000
362,362,0,000000000000000000000000,00000
363,363,0,000000000000000000000000,00000
364,364,0,ffffffff00000000ffffffff,00000
365,365,0,000000000000000000000000,00000
366,366,0,000000000000000000000000,00000
367,367,0,ffffffff00000000ffffffff,00000
368,368,0,ffffffff00000000ffffffff,00000
369,369,0,ffffffff00000000ffffffff,00000
370,370,0,ffffffff00000000ffffffff,00000
371,371,0,000000000000000000000000,3ffff
372,372,0,000000000000000000000000,00000
373,373,0,ffffffff00000000ffffffff,00000
374,374,0,000000000000000000000000,00000
375,375,0,000000000000000000000000,00000
376,376,0,ffffffff00000000ffffffff,00000
377,377,0,000000000000000000000000,00000
378,378,0,000000000000000000000000,00000
379,379,0,ffffffff00000000ffffffff,00000
380,380,0,ffffffff00000000ffffffff,00000
381,381,0,ffffffff00000000ffffffff,00000
382,382,0,ffffffff00000000ffffffff,00000
383,383,0,000000000000000000000000,3ffff
384,384,0,000000000000000000000000,00000
385,385,0,ffffffff00000000ffffffff,00000
386,386,0,000000000000000000000000,00000
387,387,0,000000000000000000000000,00000
388,388,0,ffffffff00000000ffffffff,00000
389,389,0,000000000000000000000000,00000
390,390,0,000000000000000000000000,00000
391,391,0,ffffffff00000000ffffffff,00000
392,392,0,ffffffff00000000ffffffff,00000
393,393,0,ffffffff00000000ffffffff,00000
394,394,0,ffffffff00000000ffffffff,00000
395,395,0,000000000000000000000000,3ffff
396,396,0,000000000000000000000000,00000
397,397,0,ffffffff00000000ffffffff,00000
398,398,0,000000000000000000000000,00000
399,399,0,000000000000000000000000,00000
400,400,0,ffffffff00000000ffffffff,00000
401,401,0,000000000000000000000000,00000
402,402,0,000000000000000000000000,00000
403,403,0,ffffffff00000000ffffffff,00000
404,404,0,ffffffff00000000ffffffff,00000
405,405,0,ffffffff00000000ffffffff,00000
406,406,0,ffffffff00000000ffffffff,00000
407,407,0,000000000000000000000000,3ffff
408,408,0,000000000000000000000000,00000
409,409,0,ffffffff00000000ffffffff,00000
410,410,0,000000000000000000000000,00000
411,411,0,000000000000000000000000,00000
412,412,0,ffffffff00000000ffffffff,00000
413,413,0,000000000000000000000000,00000
414,414,0,000000000000000000000000,00000
415,415,0,ffffffff00000000ffffffff,00000
416,416,0,ffffffff00000000ffffffff,00000
417,417,0,ffffffff00000000ffffffff,00000
418,418,0,ffffffff00000000ffffffff,00000
419,419,0,000000000000000000000000,3ffff
420,420,0,000000000000000000000000,00000
421,421,0,ffffffff00000000ffffffff,00000
422,422,0,000000000000000000000000,00000
423,423,0,000000000000000000000000,00000
424,424,0,ffffffff00000000ffffffff,00000
425,425,0,000000000000000000000000,00000
426,426,0,000000000000000000000000,00000
427,427,0,ffffffff00000000ffffffff,00000
428,428,0,ffffffff00000000ffffffff,00000
429,429,0,ffffffff00000000ffffffff,00000
430,430,0,ffffffff00000000ffffffff,00000
431,431,0,000000000000000000000000,3ffff
432,432,0,000000000000000000000000,00000
433,433,0,ffffffff00000000ffffffff,00000
434,434,0,000000000000000000000000,00000
435,435,0,000000000000000000000000,00000
436,436,0,ffffffff00000000ffffffff,00000
437,437,0,000000000000000000000000,00000
438,438,0,000000000000000000000000,00000
439,439,0,ffffffff00000000ffffffff,00000
440,440,0,ffffffff00000000ffffffff,00000
441,441,0,ffffffff00000000ffffffff,00000
442,442,0,ffffffff00000000ffffffff,00000
443,443,0,000000000000000000000000,3ffff
444,444,0,000000000000000000000000,00000
445,445,0,ffffffff00000000ffffffff,00000
446,446,0,000000000000000000000000,00000
447,447,0,000000000000000000000000,00000
448,448,0,ffffffff00000000ffffffff,00000
449,449,0,000000000000000000000000,00000
450,450,0,000000000000000000000000,00000
451,451,0,ffffffff00000000ffffffff,00000
452,452,0,ffffffff00000000ffffffff,00000
453,453,0,ffffffff00000000ffffffff,00000
454,454,0,ffffffff00000000ffffffff,00000
455,455,0,000000000000000000000000,3ffff
456,456,0,000000000000000000000000,00000
457,457,0,ffffffff00000000ffffffff,00000
458,458,0,000000000000000000000000,00000
459,459,0,000000000000000000000000,00000
460,460,0,ffffffff00000000ffffffff,00000
461,461,0,000000000000000000000000,00000
462,462,0,000000000000000000000000,00000
463,463,0,ffffffff00000000ffffffff,00000
464,464,0,ffffffff00000000ffffffff,00000
465,465,0,ffffffff00000000ffffffff,00000
466,466,0,ffffffff00000000ffffffff,00000
467,467,0,000000000000000000000000,3ffff
468,468,0,000000000000000000000000,00000
469,469,0,ffffffff00000000ffffffff,00000
470,470,0,000000000000000000000000,00000
471,471,0,000000000000000000000000,00000
472,472,0,ffffffff00000000ffffffff,00000
473,473,0,000000000000000000000000,00000
474,474,0,000000000000000000000000,00000
475,475,0,ffffffff00000000ffffffff,00000
476,476,0,ffffffff00000000ffffffff,00000
477,477,0,ffffffff00000000ffffffff,00000
478,478,0,ffffffff00000000ffffffff,00000
479,479,0,000000000000000000000000,3ffff
480,480,0,000000000000000000000000,00000
481,481,0,ffffffff00000000ffffffff,00000
482,482,0,000000000000000000000000,00000
483,483,0,000000000000000000000000,00000
484,484,0,ffffffff00000000ffffffff,00000
485,485,0,000000000000000000000000,00000
486,486,0,000000000000000000000000,00000
487,487,0,ffffffff00000000ffffffff,00000
488,488,0,ffffffff00000000ffffffff,00000
489,489,0,ffffffff00000000ffffffff,00000
490,490,0,ffffffff00000000ffffffff,00000
491,491,0,000000000000000000000000,3ffff
492,492,0,000000000000000000000000,00000
493,493,0,ffffffff00000000ffffffff,00000
494,494,0,000000000000000000000000,00000
495,495,0,000000000000000000000000,00000
496,496,0,ffffffff00000000ffffffff,00000
497,497,0,000000000000000000000000,00000
498,498,0,000000000000000000000000,00000
499,499,0,ffffffff00000000ffffffff,00000
500,500,0,ffffffff00000000ffffffff,00000
501,501,0,ffffffff00000000ffffffff,00000
502,502,0,ffffffff00000000ffffffff,00000
503,503,0,ff0000000000000000000000,3ffff
504,504,0,000000000000000000000000,00000
505,505,0,ffffffff00000000ffffffff,00000
506,506,0,000000000000000000000000,00000
507,507,0,000000000000000000000000,00000
508,508,0,ffffffff00000000ffffffff,00000
509,509,0,000000000000000000000000,00000
510,510,0,000000000000000000000000,00000
511,511,0,ffffffff00000000ffffffff,00000
512,512,1,ffffffff00000000ffffffff,00000
513,513,0,ffffffff00000000ffffffff,00000
514,514,0,ffffffff00000000ffffffff,00000
515,515,0,ffff80000000000000000000,3ffff
516,516,0,000000000000000000000000,00000
517,517,0,ffffffff00000000ffffffff,00000
518,518,0,000000000000000000000000,00000
519,519,0,000000000000000000000000,00000
520,520,0,ffffffff00000000ffffffff,00000
521,521,0,000000000000000000000000,00000
522,522,0,000000000000000000000000,00000
523,523,0,ffffffff00000000ffffffff,00000
524,524,0,ffffffff00000000ffffffff,00000
525,525,0,ffffffff00000000ffffffff,00000
526,526,0,ffffffff00000000ffffffff,00000
527,527,0,ffffffe00000000000000000,00000
528,528,0,000000000000000000000000,3ffff
529,529,0,ffffffff00000000ffffffff,00000
530,530,0,000000000000000000000000,00000
531,531,0,000000000000000000000000,00000
532,532,0,ffffffff00000000ffffffff,00000
533,533,0,000000000000000000000000,00000
534,534,0,000000000000000000000000,00000
535,535,0,ffffffff00000000ffffffff,00000
536,536,0,ffffffff00000000ffffffff,00000
537,537,0,ffffffff00000000ffffffff,00000
538,538,0,ffffffff00000000ffffffff,00000
539,539,0,fffffffff000000000000000,00000
540,540,0,000000000000000000000000,3ffff
541,541,0,ffffffff00000000ffffffff,00000
542,542,0,000000000000000000000000,00000
543,543,0,000000000000000000000000,00000
544,544,0,ffffffff00000000ffffffff,00000
545,545,0,000000000000000000000000,00000
546,546,0,000000000000000000000000,00000
547,547,0,ffffffff00000000ffffffff,00000
548,548,0,ffffffff00000000ffffffff,00000
549,549,0,ffffffff00000000ffffffff,00000
550,550,0,ffffffff00000000ffffffff,00000
551,551,0,fffffffffff0000000000000,00000
552,552,0,000000000000000000000000,3ffff
553,553,0,ffffffff00000000ffffffff,00000
554,554,0,000000000000000000000000,00000
555,555,0,000000000000000000000000,00000
556,556,0,ffffffff00000000ffffffff,00000
557,557,0,000000000000000000000000,00000
558,558,0,000000000000000000000000,00000
559,559,0,ffffffff00000000ffffffff,00000
560,560,0,ffffffff00000000ffffffff,00000
561,561,0,ffffffff00000000ffffffff,00000
562,562,0,ffffffff00000000ffffffff,00000
563,563,0,00ffffffffffe00000000000,3ffff
564,564,0,000000000000000000000000,00000
565,565,0,ffffffff00000000ffffffff,00000
566,566,0,000000000000000000000000,00000
567,567,0,000000000000000000000000,00000
568,568,0,ffffffff00000000ffffffff,00000
569,569,0,000000000000000000000000,00000
570,570,0,000000000000000000000000,00000
571,571,0,ffffffff00000000ffffffff,00000
572,572,0,ffffffff00000000ffffffff,00000
573,573,0,ffffffff00000000ffffffff,00000
574,574,0,ffffffff00000000ffffffff,00000
575,575,0,0001fffffffffff800000000,3ffff
576,576,0,000000000000000000000000,00000
577,577,0,ffffffff00000000ffffffff,00000
578,578,0,000000000000000000000000,00000
579,579,0,000000000000000000000000,00000
580,580,0,ffffffff00000000ffffffff,00000
581,581,0,000000000000000000000000,00000
582,582,0,000000000000000000000000,00000
583,583,0,ffffffff00000000ffffffff,00000
584,584,0,ffffffff00000000ffffffff,00000
585,585,0,ffffffff00000000ffffffff,00000
586,586,0,ffffffff00000000ffffffff,00000
587,587,0,0000017ffffffffffa000000,3ffff
588,588,0,000000000000000000000000,00000
589,589,0,ffffffff00000000ffffffff,00000
590,590,0,000000000000000000000000,00000
591,591,0,000000000000000000000000,00000
592,592,0,ffffffff00000000ffffffff,00000
593,593,0,000000000000000000000000,00000
594,594,0,000000000000000000000000,00000
595,595,0,ffffffff00000000ffffffff,00000
596,596,0,ffffffff00000000ffffffff,00000
597,597,0,ffffffff00000000ffffffff,00000
598,598,0,ffffffff00000000ffffffff,00000
599,599,0,000000001fffffffffff8000,3ffff
600,600,0,000000000000000000000000,00000
601,601,0,ffffffff00000000ffffffff,00000
602,602,0,000000000000000000000000,00000
603,603,0,000000000000000000000000,00000
604,604,0,ffffffff00000000ffffffff,00000
605,605,0,000000000000000000000000,00000
606,606,0,000000000000000000000000,00000
607,607,0,ffffffff00000000ffffffff,00000
608,608,0,ffffffff00000000ffffffff,00000
609,609,0,ffffffff00000000ffffffff,00000
610,610,0,ffffffff00000000ffffffff,00000
611,611,0,00000000000ffffffffffee0,3ffff
612,612,0,000000000000000000000000,00000
613,613,0,ffffffff00000000ffffffff,00000
614,614,0,000000000000000000000000,00000
615,615,0,000000000000000000000000,00000
616,616,0,ffffffff00000000ffffffff,00000
617,617,0,000000000000000000000000,00000
618,618,0,000000000000000000000000,00000
619,619,0,ffffffff00000000ffffffff,00000
620,620,0,ffffffff00000000ffffffff,00000
621,621,0,ffffffff00000000ffffffff,00000
622,622,0,ffffffff00000000ffffffff,00000
623,623,0,ff000000000007fffffffffc,3ffff
624,624,0,000000000000000000000000,00000
625,625,0,ffffffff00000000ffffffff,00000
626,626,0,000000000000000000000000,00000
627,627,0,000000000000000000000000,00000
628,628,0,ffffffff00000000ffffffff,00000
629,629,0,000000000000000000000000,00000
630,630,0,000000000000000000000000,00000
631,631,0,ffffffff00000000ffffffff,00000
632,632,0,ffffffff00000000ffffffff,00000
633,633,0,ffffffff00000000ffffffff,00000
634,634,0,ffffffff00000000ffffffff,00000
635,635,0,fffe000000000007ffffffff,00000
636,636,0,000000000000000000000000,3ffff
637,637,0,ffffffff00000000ffffffff,00000
638,638,0,000000000000000000000000,00000
639,639,0,000000000000000000000000,00000
640,640,0,ffffffff00000000ffffffff,00000
641,641,0,000000000000000000000000,00000
642,642,0,000000000000000000000000,00000
643,643,0,ffffffff00000000ffffffff,00000
644,644,0,ffffffff00000000ffffffff,00000
645,645,0,ffffffff00000000ffffffff,00000
646,646,0,ffffffff00000000ffffffff,00000
647,647,0,ffffffa000000000ffffffff,00000
648,648,0,000000000000000000000000,3ffff
