Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore_1[47:0],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore[447:48],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dout_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
137,137,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
138,138,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
139,139,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
140,140,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
141,141,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
142,142,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
143,143,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
144,144,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
145,145,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
146,146,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
147,147,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
148,148,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
149,149,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
150,150,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
151,151,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
152,152,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
153,153,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
154,154,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
155,155,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
156,156,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
157,157,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
158,158,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
159,159,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
160,160,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
161,161,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
162,162,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
163,163,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
164,164,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
165,165,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
166,166,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
167,167,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
168,168,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
169,169,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
170,170,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
171,171,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
172,172,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
173,173,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
174,174,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
175,175,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
176,176,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
177,177,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
178,178,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
179,179,0,ffe000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
180,180,0,ffe000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
181,181,0,ffe000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
182,182,0,ffe000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
183,183,0,ffe000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
184,184,0,ffe000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
185,185,0,ffe000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
186,186,0,ffffe0000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
187,187,0,ffffe0000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
188,188,0,ffffe0000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
189,189,0,ffffe0000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
190,190,0,ffffe0000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
191,191,0,ffffe0000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
192,192,0,ffffe0000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
193,193,0,ffffffa00000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
194,194,0,ffffffa00000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
195,195,0,ffffffa00000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
196,196,0,ffffffa00000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
197,197,0,ffffffa00000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
198,198,0,ffffffa00000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
199,199,0,ffffffa00000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
200,200,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
201,201,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
202,202,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
203,203,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
204,204,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
205,205,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
206,206,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
207,207,0,fffffffffa00,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
208,208,0,07fffffffff8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
209,209,0,07fffffffff8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
210,210,0,07fffffffff8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
211,211,0,07fffffffff8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
212,212,0,07fffffffff8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
213,213,0,07fffffffff8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
214,214,0,07fffffffff8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
215,215,0,000ffffffffe,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
216,216,0,000ffffffffe,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
217,217,0,000ffffffffe,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
218,218,0,000ffffffffe,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
219,219,0,000ffffffffe,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
220,220,0,000ffffffffe,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
221,221,0,000ffffffffe,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
222,222,0,0003ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
223,223,0,0003ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
224,224,0,0003ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
